"x" "y"
"1" 1 -10.3
"2" 2 -10.8
"3" 3 -12.8
"4" 4 -13.4
"5" 5 -15.3
"6" 6 -10
"7" 7 -5.6
"8" 8 -5.3
"9" 9 -12
"10" 10 -10.6
"11" 11 -4.2
"12" 12 -15
"13" 13 -9.4
"14" 14 -4.2
"15" 15 -12.3
"16" 16 -10.9
"17" 17 -6.1
"18" 18 -16.1
"19" 19 -21.7
"20" 20 -19.2
"21" 21 -18.4
"22" 22 -22.8
"23" 23 -20.3
"24" 24 -18.9
"25" 25 -20.8
"26" 26 -19.5
"27" 27 -17.3
"28" 28 -12.8
"29" 29 -11.4
"30" 30 -19.2
"31" 31 -17.8
"32" 32 -22
"33" 33 -21.4
"34" 34 -18.1
"35" 35 -10.9
"36" 36 -12
"37" 37 -3.9
"38" 38 -11.4
"39" 39 -4.2
"40" 40 -1.4
"41" 41 -1.4
"42" 42 -6.1
"43" 43 -11.1
"44" 44 -10.6
"45" 45 -1.1
"46" 46 -7.2
"47" 47 -11.2
"48" 48 -8.4
"49" 49 -4.4
"50" 50 1.7
"51" 51 -8.1
"52" 52 -6.7
"53" 53 0
"54" 54 -2.8
"55" 55 -4.2
"56" 56 -2.8
"57" 57 -1.1
"58" 58 0.3
"59" 59 -0.3
"60" 60 -2.5
"61" 61 0.6
"62" 62 4.2
"63" 63 -1.7
"64" 64 -6.7
"65" 65 -0.3
"66" 66 0
"67" 67 -5
"68" 68 -6.7
"69" 69 -9.7
"70" 70 -12.2
"71" 71 -7.8
"72" 72 -6.1
"73" 73 -3.1
"74" 74 -1.7
"75" 75 -7.5
"76" 76 -13.6
"77" 77 -9.7
"78" 78 -4.8
"79" 79 -5.8
"80" 80 -8.4
"81" 81 -4.5
"82" 82 0.9
"83" 83 2.5
"84" 84 3.4
"85" 85 -0.6
"86" 86 5.6
"87" 87 7.5
"88" 88 2.2
"89" 89 1.1
"90" 90 -0.9
"91" 91 2.2
"92" 92 1.7
"93" 93 1.7
"94" 94 5.3
"95" 95 6.1
"96" 96 5.6
"97" 97 3.1
"98" 98 2.5
"99" 99 3.1
"100" 100 4.2
"101" 101 2.8
"102" 102 4.2
"103" 103 3.7
"104" 104 1.1
"105" 105 4.5
"106" 106 4.5
"107" 107 4.8
"108" 108 3.1
"109" 109 3.6
"110" 110 7.5
"111" 111 10.3
"112" 112 9.2
"113" 113 11.4
"114" 114 7.2
"115" 115 8.6
"116" 116 3.9
"117" 117 7.8
"118" 118 12.3
"119" 119 6.1
"120" 120 5.6
"121" 121 8.6
"122" 122 4.8
"123" 123 5.6
"124" 124 10.3
"125" 125 7
"126" 126 9.5
"127" 127 12.2
"128" 128 13.4
"129" 129 19.8
"130" 130 11.7
"131" 131 11.1
"132" 132 15.6
"133" 133 21.1
"134" 134 21.7
"135" 135 21.4
"136" 136 16.7
"137" 137 7.5
"138" 138 9.7
"139" 139 9.5
"140" 140 12.3
"141" 141 10.3
"142" 142 12.5
"143" 143 12.8
"144" 144 13.1
"145" 145 15.6
"146" 146 3.7
"147" 147 9.2
"148" 148 13.1
"149" 149 11.1
"150" 150 5.6
"151" 151 8.9
"152" 152 17.5
"153" 153 18.6
"154" 154 15.3
"155" 155 14.8
"156" 156 16.7
"157" 157 14.5
"158" 158 12.2
"159" 159 13.3
"160" 160 16.4
"161" 161 20
"162" 162 13.1
"163" 163 18.9
"164" 164 23.6
"165" 165 14.8
"166" 166 13.1
"167" 167 15.8
"168" 168 19.7
"169" 169 20.3
"170" 170 21.1
"171" 171 17.8
"172" 172 15.9
"173" 173 20.3
"174" 174 20.3
"175" 175 18.9
"176" 176 17.8
"177" 177 16.7
"178" 178 18.6
"179" 179 20.3
"180" 180 23.1
"181" 181 22.8
"182" 182 17
"183" 183 16.4
"184" 184 20.9
"185" 185 15
"186" 186 16.7
"187" 187 17.8
"188" 188 18.4
"189" 189 18.4
"190" 190 18.1
"191" 191 19.2
"192" 192 20
"193" 193 24.2
"194" 194 23.4
"195" 195 21.4
"196" 196 21.4
"197" 197 20
"198" 198 21.7
"199" 199 22.3
"200" 200 23.1
"201" 201 22.5
"202" 202 22.2
"203" 203 23.9
"204" 204 24.8
"205" 205 26.2
"206" 206 24.8
"207" 207 23.1
"208" 208 21.1
"209" 209 24.4
"210" 210 24.5
"211" 211 23.1
"212" 212 18.9
"213" 213 17.8
"214" 214 19.2
"215" 215 21.7
"216" 216 20.6
"217" 217 22.5
"218" 218 22.8
"219" 219 22.5
"220" 220 23.1
"221" 221 23.4
"222" 222 25.6
"223" 223 23.4
"224" 224 20.3
"225" 225 14.2
"226" 226 16.7
"227" 227 20
"228" 228 15.3
"229" 229 16.1
"230" 230 20.3
"231" 231 22.5
"232" 232 17.2
"233" 233 16.1
"234" 234 15.6
"235" 235 18.7
"236" 236 22.2
"237" 237 23.1
"238" 238 22.5
"239" 239 19.7
"240" 240 19.8
"241" 241 20.3
"242" 242 22.2
"243" 243 24.2
"244" 244 25.6
"245" 245 18.7
"246" 246 24.5
"247" 247 26.4
"248" 248 23.1
"249" 249 17
"250" 250 19.5
"251" 251 22
"252" 252 22.5
"253" 253 25.6
"254" 254 27
"255" 255 19.8
"256" 256 12.2
"257" 257 17.8
"258" 258 13.6
"259" 259 11.2
"260" 260 10.6
"261" 261 13.6
"262" 262 16.1
"263" 263 18.1
"264" 264 19.7
"265" 265 20
"266" 266 23.6
"267" 267 20
"268" 268 21.4
"269" 269 18.6
"270" 270 17.2
"271" 271 12.2
"272" 272 9.7
"273" 273 12
"274" 274 18.1
"275" 275 13.6
"276" 276 7.8
"277" 277 6.4
"278" 278 8.9
"279" 279 17
"280" 280 17.3
"281" 281 15.3
"282" 282 18.1
"283" 283 16.7
"284" 284 13.4
"285" 285 18.9
"286" 286 16.1
"287" 287 10.9
"288" 288 3.1
"289" 289 4.2
"290" 290 9.5
"291" 291 15.9
"292" 292 12.8
"293" 293 10
"294" 294 7
"295" 295 7
"296" 296 5.3
"297" 297 4.2
"298" 298 5.6
"299" 299 8.4
"300" 300 1.7
"301" 301 3.9
"302" 302 12.8
"303" 303 11.4
"304" 304 8.4
"305" 305 3.1
"306" 306 3.4
"307" 307 12
"308" 308 11.4
"309" 309 9.2
"310" 310 7
"311" 311 6.7
"312" 312 5
"313" 313 0.9
"314" 314 -1.4
"315" 315 0
"316" 316 6.4
"317" 317 8.1
"318" 318 7.8
"319" 319 3.6
"320" 320 2
"321" 321 5.6
"322" 322 -0.6
"323" 323 -2
"324" 324 -3.1
"325" 325 0
"326" 326 1.4
"327" 327 4.7
"328" 328 5.6
"329" 329 2.8
"330" 330 0.6
"331" 331 -1.7
"332" 332 -3.9
"333" 333 -3.3
"334" 334 -4.8
"335" 335 -5.3
"336" 336 -3.4
"337" 337 -0.3
"338" 338 2.2
"339" 339 4.7
"340" 340 2.5
"341" 341 1.7
"342" 342 -3.6
"343" 343 -6.4
"344" 344 -2
"345" 345 -0.3
"346" 346 0.6
"347" 347 -0.6
"348" 348 -3.1
"349" 349 -10.6
"350" 350 -13.1
"351" 351 -8.6
"352" 352 -4.7
"353" 353 -3.7
"354" 354 -2.5
"355" 355 -6.1
"356" 356 -10
"357" 357 -10
"358" 358 -12
"359" 359 -7.5
"360" 360 -4.2
"361" 361 0.8
"362" 362 -2.8
"363" 363 -9.5
"364" 364 -8.4
"365" 365 -5.9
"366" 366 -10
"367" 367 -15.9
"368" 368 -8.9
"369" 369 -13.9
"370" 370 -16.4
"371" 371 -10.6
"372" 372 -3.6
"373" 373 -0.8
"374" 374 -7.5
"375" 375 -13.9
"376" 376 -11.7
"377" 377 -6.1
"378" 378 -7
"379" 379 -2.5
"380" 380 1.4
"381" 381 -7.5
"382" 382 -13.1
